Contig name	Start	End	Scaffold name
9077	0	5186	scaffold_0
9553	5286	8987	scaffold_0
4705	9087	15454	scaffold_0
9166	15554	21243	scaffold_0
9762	21343	24387	scaffold_0
10151	24487	28477	scaffold_0
10278	28577	31764	scaffold_0
10282	31864	37412	scaffold_0
82	37512	38856	scaffold_0
9481	38956	40863	scaffold_0
5822	40963	42410	scaffold_0
9276	42510	45803	scaffold_0
9369	45903	55667	scaffold_0
9955	55767	61316	scaffold_0
1012	61416	63357	scaffold_0
10039	63457	68712	scaffold_0
1874	68812	70586	scaffold_0
9650	70686	79527	scaffold_0
10204	79627	81975	scaffold_0
10232	82075	84148	scaffold_0
9730	84248	87404	scaffold_0
6807	87504	90429	scaffold_0
9886	90529	101830	scaffold_0
9902	101930	108511	scaffold_0
9173	108611	123156	scaffold_0
9305	123256	131905	scaffold_0
9939	132005	137155	scaffold_0
10036	137255	140898	scaffold_0
9915	140998	147236	scaffold_0
9604	147336	155360	scaffold_0
6233	155460	160132	scaffold_0
10358	160232	166561	scaffold_0
5239	166661	168238	scaffold_0
10355	168338	171263	scaffold_0
10059	171363	178523	scaffold_0
9724	178623	189385	scaffold_0
9424	189485	193934	scaffold_0
10034	194034	198911	scaffold_0
9153	199011	201432	scaffold_0
9574	201532	206837	scaffold_0
10440	206937	213984	scaffold_0
10380	214084	218881	scaffold_0
9811	218981	226290	scaffold_0
9088	226390	228640	scaffold_0
7135	228740	230055	scaffold_0
9840	230155	237273	scaffold_0
10343	237373	242117	scaffold_0
10262	242217	260240	scaffold_0
10028	260340	263535	scaffold_0
10332	263635	267590	scaffold_0
10277	267690	281942	scaffold_0
3266	282042	283245	scaffold_0
514	283345	287198	scaffold_0
6705	287298	288738	scaffold_0
706	288838	290103	scaffold_0
9692	290203	293631	scaffold_0
3836	293731	295039	scaffold_0
10329	295139	317453	scaffold_0
10351	317553	325273	scaffold_0
9290	325373	334881	scaffold_0
10071	334981	337601	scaffold_0
10475	337701	342830	scaffold_0
9556	342930	347966	scaffold_0
6522	348066	353861	scaffold_0
1260	353961	355952	scaffold_0
3158	356052	357784	scaffold_0
9358	357884	364426	scaffold_0
9183	364526	371916	scaffold_0
10367	372016	387431	scaffold_0
9678	387531	395494	scaffold_0
9673	395594	399771	scaffold_0
6309	399871	401948	scaffold_0
10083	402048	411684	scaffold_0
9821	411784	417809	scaffold_0
10435	417909	423964	scaffold_0
10453	424064	428892	scaffold_0
9145	428992	432858	scaffold_0
9103	432958	438810	scaffold_0
9266	438910	453799	scaffold_0
9645	453899	455826	scaffold_0
3149	455926	459095	scaffold_0
10474	459195	470243	scaffold_0
9125	470343	474547	scaffold_0
10001	474647	478036	scaffold_0
207	478136	481218	scaffold_0
9387	481318	490109	scaffold_0
10099	490209	491937	scaffold_0
9873	492037	497314	scaffold_0
9121	497414	504894	scaffold_0
9607	504994	511622	scaffold_0
3908	511722	520391	scaffold_0
9595	520491	525676	scaffold_0
10233	525776	529231	scaffold_0
9944	529331	534294	scaffold_0
4792	534394	541347	scaffold_0
9447	541447	546895	scaffold_0
2255	546995	550444	scaffold_0
9891	550544	555577	scaffold_0
9437	555677	561038	scaffold_0
9666	561138	562455	scaffold_0
9619	562555	576950	scaffold_0
9761	577050	581526	scaffold_0
6952	581626	583989	scaffold_0
9081	584089	588063	scaffold_0
9155	588163	593289	scaffold_0
6318	593389	594892	scaffold_0
10274	594992	602072	scaffold_0
2957	602172	604852	scaffold_0
953	604952	610091	scaffold_0
9658	610191	618160	scaffold_0
9703	618260	621901	scaffold_0
2267	622001	623819	scaffold_0
9845	623919	628702	scaffold_0
9323	628802	657857	scaffold_0
9167	657957	660014	scaffold_0
9722	660114	666214	scaffold_0
9230	666314	667854	scaffold_0
673	667954	673243	scaffold_0
9628	673343	681564	scaffold_0
9993	681664	685856	scaffold_0
9863	685956	691436	scaffold_0
6222	691536	693979	scaffold_0
10305	694079	699314	scaffold_0
5994	699414	701767	scaffold_0
9738	701867	715180	scaffold_0
9446	715280	719231	scaffold_0
9862	719331	721717	scaffold_0
4314	721817	729025	scaffold_0
10362	729125	735030	scaffold_0
10231	735130	746116	scaffold_0
