Contig name	Start	End	Scaffold name
625	0	23000	scaffold_0
775	0	1759	scaffold_1
410	1859	13033	scaffold_1
1102	13133	16259	scaffold_1
1250	16359	23852	scaffold_1
459	23952	33783	scaffold_1
1202	33883	54932	scaffold_1
1274	55032	59186	scaffold_1
168	59286	64615	scaffold_1
159	64715	66905	scaffold_1
156	67005	71014	scaffold_1
535	71114	89315	scaffold_1
241	89415	99794	scaffold_1
1118	99894	103369	scaffold_1
669	103469	123182	scaffold_1
305	123282	125962	scaffold_1
1175	126062	134391	scaffold_1
977	0	3149	scaffold_2
145	3249	6101	scaffold_2
1217	6201	21617	scaffold_2
1145	21717	31262	scaffold_2
1119	31362	43143	scaffold_2
622	43243	52007	scaffold_2
837	52107	56557	scaffold_2
138	56657	69878	scaffold_2
822	69978	75986	scaffold_2
1151	76086	78784	scaffold_2
1039	78884	87893	scaffold_2
778	87993	99482	scaffold_2
1018	99582	105247	scaffold_2
599	105347	107231	scaffold_2
785	0	11766	scaffold_3
715	11866	23337	scaffold_3
1101	23437	30600	scaffold_3
441	30700	41349	scaffold_3
496	41449	53213	scaffold_3
185	53313	59886	scaffold_3
661	59986	67302	scaffold_3
0	67402	73006	scaffold_3
529	73106	88216	scaffold_3
898	88316	97566	scaffold_3
478	97666	104781	scaffold_3
606	104881	109754	scaffold_3
830	0	3762	scaffold_4
239	3862	23633	scaffold_4
71	23733	33486	scaffold_4
1181	33586	43354	scaffold_4
1224	43454	71625	scaffold_4
594	71725	74281	scaffold_4
700	74381	80224	scaffold_4
707	80324	95233	scaffold_4
708	95333	98946	scaffold_4
382	99046	101690	scaffold_4
312	101790	111346	scaffold_4
6	111446	114567	scaffold_4
1161	114667	127102	scaffold_4
466	127202	135905	scaffold_4
77	136005	140998	scaffold_4
1002	141098	153630	scaffold_4
341	153730	160191	scaffold_4
540	160291	162632	scaffold_4
997	0	11248	scaffold_5
794	11348	24461	scaffold_5
84	24561	48395	scaffold_5
342	48495	51942	scaffold_5
21	52042	59700	scaffold_5
730	59800	66516	scaffold_5
115	66616	73386	scaffold_5
636	73486	81506	scaffold_5
1196	81606	93939	scaffold_5
132	94039	105723	scaffold_5
348	105823	110698	scaffold_5
1195	110798	124160	scaffold_5
295	124260	158386	scaffold_5
1014	158486	160279	scaffold_5
93	160379	166860	scaffold_5
