Contig name	Start	End	Scaffold name
NC01007914426300862632969	0	2884	scaffold_0
NC01007914626335032633746	2984	3228	scaffold_0
NC01007914526332852633502	3328	3646	scaffold_0
NC01007914326249062629330	3746	8271	scaffold_0
NC01007914226241382624508	8371	8842	scaffold_0
NC01007914126137792624138	8942	19402	scaffold_0
NC01007914026102252613681	19502	23059	scaffold_0
NC01007913925807302610214	23159	52744	scaffold_0
NC01007913825553482580492	52844	78089	scaffold_0
NC01007913725400302555303	78189	93563	scaffold_0
NC01007913625050142539931	93663	128681	scaffold_0
NC01007913524790662504831	128781	154647	scaffold_0
NC01007913424321152478335	154747	201068	scaffold_0
NC01007913323892402431693	201168	243722	scaffold_0
NC01007913223194012389029	243822	313551	scaffold_0
NC01007913022978022317762	313651	333712	scaffold_0
NC01007912722652122292093	333812	360794	scaffold_0
NC01007912622552722265152	360894	370875	scaffold_0
NC01007912522479652254688	370975	377799	scaffold_0
NC01007912421816512247850	377899	444199	scaffold_0
NC01007912321456452176314	444299	475069	scaffold_0
NC01007912221217092145566	475169	499127	scaffold_0
NC01007912121140112121708	499227	507025	scaffold_0
NC0100798815940291600417	507125	513614	scaffold_0
NC0100798916005471602526	513714	515794	scaffold_0
NC0100799016025851608200	515894	521610	scaffold_0
NC0100799116082051608433	521710	522039	scaffold_0
NC0100799216084341695051	522139	608857	scaffold_0
NC0100799316951861803069	608957	716941	scaffold_0
NC0100799518050461857837	717041	769933	scaffold_0
NC0100799618579321873596	770033	785798	scaffold_0
NC0100799718740211892736	785898	804714	scaffold_0
NC0100799818934721899203	804814	810646	scaffold_0
NC0100799918992621910701	810746	822286	scaffold_0
NC01007910019109321911247	822386	822802	scaffold_0
NC01007913123185802318917	822902	823340	scaffold_0
NC01007910119124791917795	823440	828857	scaffold_0
NC01007910319184261929673	828957	840305	scaffold_0
NC01007910419297101937554	840405	848350	scaffold_0
NC01007910519375041938926	848450	849973	scaffold_0
NC01007934457607459476	850073	852043	scaffold_0
NC01007933453057457792	852143	856979	scaffold_0
NC01007932450693452993	857079	859480	scaffold_0
NC01007931449196450468	859580	860953	scaffold_0
NC01007930394993449333	861053	915494	scaffold_0
NC01007929351561394815	915594	958949	scaffold_0
NC01007928349540351123	959049	960733	scaffold_0
NC01007925344824347355	960833	963465	scaffold_0
NC01007927348553349398	963565	964511	scaffold_0
NC01007924344391344731	964611	965052	scaffold_0
NC01007923319234344202	965152	990221	scaffold_0
NC01007922313070318691	990321	996043	scaffold_0
NC01007921302947313015	996143	1006312	scaffold_0
NC01007920170616302935	1006412	1138832	scaffold_0
NC01007919112864169912	1138932	1196081	scaffold_0
NC01007918112487112722	1196181	1196517	scaffold_0
NC01007917111891112328	1196617	1197155	scaffold_0
NC01007916111104111423	1197255	1197675	scaffold_0
NC01007915110831111033	1197775	1198078	scaffold_0
NC01007914110273110552	1198178	1198558	scaffold_0
NC0100791397517110158	1198658	1211400	scaffold_0
NC010079129146597380	1211500	1217516	scaffold_0
NC010079117691891494	1217616	1232293	scaffold_0
NC01007996734568655	1232393	1233804	scaffold_0
NC01007966235165760	1233904	1237414	scaffold_0
NC010079106856976180	1237514	1245226	scaffold_0
NC01007944475352558	1245326	1253232	scaffold_0
NC01007986616767374	1253332	1254640	scaffold_0
NC01007976583566255	1254740	1255261	scaffold_0
NC01007914726338262664853	1255361	1286489	scaffold_0
NC01007914826651092680011	1286589	1301592	scaffold_0
NC01007915026813982699162	1301692	1319557	scaffold_0
NC01007915126993342774915	1319657	1395339	scaffold_0
NC01007915227752542807722	1395439	1428008	scaffold_0
NC01007915328077992830327	1428108	1450737	scaffold_0
NC01007915428305152866799	1450837	1487222	scaffold_0
NC01007915528669292872915	1487322	1493409	scaffold_0
NC0100791124199	1493509	1517808	scaffold_0
NC01007922433335846	1517908	1529522	scaffold_0
gi161510924refNC010063181264612883	1529622	1529960	scaffold_0
NC01007933661344602	1530060	1538150	scaffold_0
NC0100797110982621168560	0	70299	scaffold_1
NC0100797010723031098262	70399	96359	scaffold_1
NC0100796910718601072163	96459	96863	scaffold_1
NC0100796810364951071863	96963	132432	scaffold_1
NC010079679547191036472	132532	214386	scaffold_1
NC01007966906303954480	214486	262764	scaffold_1
NC01007965892015906332	262864	277282	scaffold_1
NC01007964875484891649	277382	293648	scaffold_1
NC01007963855853875017	293748	313013	scaffold_1
NC01007962848665855658	313113	320207	scaffold_1
NC01007961843031848219	320307	325596	scaffold_1
NC01007960811490842892	325696	357199	scaffold_1
NC01007959801996811322	357299	366726	scaffold_1
NC01007958801094801879	366826	367712	scaffold_1
NC01007957705100800924	367812	463737	scaffold_1
NC01007956671762704923	463837	497099	scaffold_1
NC01007955663027671552	497199	505825	scaffold_1
NC01007954657811663009	505925	511224	scaffold_1
NC01007953622695657615	511324	546345	scaffold_1
NC01007952618914621945	546445	549577	scaffold_1
NC01007951614412617850	549677	553216	scaffold_1
NC01007950562511613901	553316	604807	scaffold_1
NC01007949562200562604	604907	605412	scaffold_1
NC0100797211686041172457	605512	609466	scaffold_1
NC0100797311725161341821	609566	778972	scaffold_1
NC0100797413418281342913	779072	780258	scaffold_1
NC0100797613442631345778	780358	781974	scaffold_1
NC0100797713457811426492	782074	862886	scaffold_1
NC0100797814270951442846	862986	878838	scaffold_1
NC0100797914437611456887	878938	892165	scaffold_1
NC0100798014577401472992	892265	907618	scaffold_1
NC0100798114731471558163	907718	992835	scaffold_1
NC0100798215585021558958	992935	993492	scaffold_1
NC0100798315589291562537	993592	997301	scaffold_1
NC0100798415625381586137	997401	1021101	scaffold_1
NC0100798515860941592190	1021201	1027398	scaffold_1
NC0100798615921211593081	1027498	1028559	scaffold_1
NC01007911921118122112036	1028659	1028984	scaffold_1
NC0100798715930961594023	1029084	1030112	scaffold_1
NC01007912021121332114005	1030212	1032185	scaffold_1
NC01007911820881622111655	1032285	1055879	scaffold_1
NC01007911720411352088150	1055979	1103095	scaffold_1
NC01007911620318542041019	1103195	1112461	scaffold_1
NC01007911520302412031591	1112561	1114012	scaffold_1
NC01007911420034952030151	1114112	1140869	scaffold_1
NC01007912922958882297830	1140969	1143012	scaffold_1
NC01007910819400561941272	0	1217	scaffold_2
NC01007910919418001956434	1317	15952	scaffold_2
NC01007911019564371961510	16052	21226	scaffold_2
NC01007911119620361994265	21326	53656	scaffold_2
