Contig name	Start	End	Scaffold name
215	0	4151	scaffold_0
470	4251	19741	scaffold_0
625	19841	54005	scaffold_0
249	54105	60797	scaffold_0
668	60897	220982	scaffold_0
659	221082	287685	scaffold_0
687	287785	486317	scaffold_0
701	486417	532663	scaffold_0
710	532763	715749	scaffold_0
655	715849	717705	scaffold_0
538	717805	739718	scaffold_0
665	739818	778605	scaffold_0
661	778705	845436	scaffold_0
630	845536	986626	scaffold_0
662	986726	1003477	scaffold_0
709	1003577	1051302	scaffold_0
698	1051402	1112570	scaffold_0
671	1112670	1210083	scaffold_0
100	1210183	1213007	scaffold_0
717	1213107	1223997	scaffold_0
715	1224097	1263981	scaffold_0
679	1264081	1283152	scaffold_0
677	1283252	1300493	scaffold_0
636	1300593	1335559	scaffold_0
379	1335659	1339791	scaffold_0
653	1339891	1435039	scaffold_0
364	1435139	1462070	scaffold_0
626	1462170	1463979	scaffold_0
728	1464079	1465908	scaffold_0
697	1466008	1531222	scaffold_0
669	1531322	1536357	scaffold_0
640	1536457	1542194	scaffold_0
700	1542294	1560801	scaffold_0
666	1560901	1581262	scaffold_0
492	1581362	1584636	scaffold_0
664	1584736	1643715	scaffold_0
727	1643815	1649542	scaffold_0
654	1649642	1679451	scaffold_0
691	1679551	1707018	scaffold_0
695	1707118	1750459	scaffold_0
713	1750559	1834857	scaffold_0
621	1834957	1848536	scaffold_0
623	1848636	1855812	scaffold_0
624	1855912	1899715	scaffold_0
643	1899815	1937205	scaffold_0
693	1937305	1982244	scaffold_0
487	1982344	1994499	scaffold_0
678	1994599	1997077	scaffold_0
696	1997177	2015253	scaffold_0
689	2015353	2148498	scaffold_0
699	2148598	2224542	scaffold_0
632	2224642	2256515	scaffold_0
690	2256615	2344143	scaffold_0
473	2344243	2349734	scaffold_0
723	2349834	2378548	scaffold_0
724	2378648	2382418	scaffold_0
685	2382518	2415627	scaffold_0
153	2415727	2442226	scaffold_0
647	2442326	2499382	scaffold_0
692	2499482	2534860	scaffold_0
729	2534960	2550896	scaffold_0
681	2550996	2618322	scaffold_0
683	2618422	2653236	scaffold_0
731	2653336	2658261	scaffold_0
732	2658361	2663265	scaffold_0
730	2663365	2666781	scaffold_0
702	2666881	2718490	scaffold_0
435	2718590	2747643	scaffold_0
667	2747743	2783716	scaffold_0
644	2783816	2798265	scaffold_0
663	2798365	2983794	scaffold_0
726	2983894	2991607	scaffold_0
633	2991707	2994862	scaffold_0
722	2994962	2998263	scaffold_0
711	2998363	3052676	scaffold_0
734	3052776	3080659	scaffold_0
733	3080759	3154668	scaffold_0
629	3154768	3160722	scaffold_0
703	3160822	3242443	scaffold_0
704	3242543	3243808	scaffold_0
274	3243908	3247401	scaffold_0
652	3247501	3279860	scaffold_0
688	3279960	3289739	scaffold_0
631	3289839	3349315	scaffold_0
674	3349415	3366431	scaffold_0
61	3366531	3387486	scaffold_0
660	3387586	3400260	scaffold_0
658	3400360	3401732	scaffold_0
657	3401832	3415688	scaffold_0
694	3415788	3426371	scaffold_0
673	3426471	3431888	scaffold_0
672	3431988	3433808	scaffold_0
680	3433908	3453249	scaffold_0
716	3453349	3460917	scaffold_0
628	3461017	3681049	scaffold_0
635	3681149	3684193	scaffold_0
648	3684293	3687349	scaffold_0
639	3687449	3785031	scaffold_0
705	3785131	3788292	scaffold_0
706	3788392	3815635	scaffold_0
155	3815735	3830190	scaffold_0
686	3830290	3934217	scaffold_0
620	3934317	4003138	scaffold_0
627	4003238	4019509	scaffold_0
646	4019609	4030973	scaffold_0
684	4031073	4034148	scaffold_0
634	4034248	4039149	scaffold_0
720	4039249	4047992	scaffold_0
712	4048092	4113535	scaffold_0
638	4113635	4185365	scaffold_0
735	4185465	4207536	scaffold_0
445	4207636	4222833	scaffold_0
191	4222933	4244436	scaffold_0
430	4244536	4301900	scaffold_0
641	4302000	4337818	scaffold_0
650	4337918	4361352	scaffold_0
